airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-05-12,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,No Info,13941
Jet Airways,2019-06-12,Delhi,Cochin,08:00:00,04:25:00,1225,1.0,In-flight meal not included,10577
Indigo,2019-06-03,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3850
Jet Airways,2019-03-03,Delhi,Cochin,09:00:00,18:50:00,590,1.0,In-flight meal not included,15400
Jet Airways,2019-05-21,Delhi,Cochin,14:00:00,19:00:00,300,1.0,No Info,16079
Indigo,2019-05-27,Delhi,Cochin,21:05:00,00:20:00,195,0.0,No Info,5601
Indigo,2019-06-09,Chennai,Kolkata,05:15:00,07:40:00,145,0.0,No Info,3540
Indigo,2019-06-03,Delhi,Cochin,10:35:00,01:30:00,895,1.0,No Info,5883
Indigo,2019-06-01,Delhi,Cochin,07:35:00,12:10:00,275,1.0,No Info,5054
Indigo,2019-06-21,Banglore,Delhi,18:15:00,21:20:00,185,0.0,No Info,4990
Jet Airways,2019-03-27,Delhi,Cochin,08:00:00,18:50:00,650,1.0,No Info,12242
Jet Airways,2019-05-21,Kolkata,Banglore,21:10:00,18:15:00,1265,1.0,In-flight meal not included,10844
Air India,2019-06-12,Kolkata,Banglore,12:00:00,11:10:00,1390,2.0,No Info,9416
Jet Airways,2019-06-09,Kolkata,Banglore,17:00:00,23:35:00,395,1.0,In-flight meal not included,13994
Jet Airways,2019-04-06,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,4544
Indigo,2019-05-27,Delhi,Cochin,06:50:00,12:10:00,320,1.0,No Info,5530
Indigo,2019-06-09,Delhi,Cochin,21:05:00,00:20:00,195,0.0,No Info,6015
Jet Airways,2019-06-09,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,3210
Jet Airways,2019-06-12,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,No Info,13044
Air Asia,2019-05-21,Kolkata,Banglore,22:40:00,10:40:00,720,1.0,No Info,9719
Indigo,2019-05-21,Delhi,Cochin,11:55:00,00:55:00,780,1.0,No Info,6282
Jet Airways,2019-06-27,Delhi,Cochin,12:15:00,12:35:00,1460,2.0,No Info,14300
Air India,2019-06-12,Delhi,Cochin,13:30:00,08:15:00,1125,1.0,No Info,8991
Jet Airways,2019-03-18,Banglore,New Delhi,22:50:00,08:15:00,565,1.0,No Info,13555
Multiple Carriers,2019-05-18,Delhi,Cochin,07:05:00,16:10:00,545,1.0,No Info,9646
Indigo,2019-03-24,Banglore,New Delhi,10:10:00,13:00:00,170,0.0,No Info,10067
Multiple Carriers,2019-05-09,Delhi,Cochin,07:05:00,16:10:00,545,1.0,No Info,8018
Jet Airways,2019-06-18,Banglore,Delhi,08:20:00,11:20:00,180,0.0,In-flight meal not included,5769
Vistara,2019-03-06,Mumbai,Hyderabad,20:55:00,16:45:00,1190,1.0,No Info,12395
Vistara,2019-04-09,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No Info,5403
Vistara,2019-06-12,Kolkata,Banglore,07:10:00,23:25:00,975,1.0,No Info,8610
Indigo,2019-03-09,Delhi,Cochin,02:35:00,08:30:00,355,1.0,No Info,11532
Air Asia,2019-04-15,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No Info,4409
Air India,2019-05-27,Delhi,Cochin,19:00:00,19:15:00,1455,1.0,No Info,8372
Air India,2019-04-21,Delhi,Cochin,06:10:00,23:00:00,1010,1.0,No Info,7174
Spicejet,2019-04-18,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No Info,4174
Jet Airways,2019-03-01,Banglore,New Delhi,14:05:00,20:20:00,375,1.0,No Info,27992
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,09:00:00,1135,1.0,No Info,17261
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,18:00:00,505,1.0,No Info,12692
Goair,2019-06-18,Banglore,Delhi,20:55:00,23:40:00,165,0.0,No Info,3419
Goair,2019-06-06,Delhi,Cochin,14:25:00,19:35:00,310,1.0,No Info,7870
Indigo,2019-03-21,Kolkata,Banglore,14:20:00,16:55:00,155,0.0,No Info,5198
Indigo,2019-06-06,Kolkata,Banglore,15:15:00,17:45:00,150,0.0,No Info,4804
Multiple Carriers,2019-06-01,Delhi,Cochin,10:00:00,21:00:00,660,1.0,No Info,13587
Air India,2019-06-09,Kolkata,Banglore,12:00:00,18:30:00,1830,2.0,No Info,10151
Air India,2019-06-09,Delhi,Cochin,05:00:00,19:15:00,2295,2.0,No Info,9968
Spicejet,2019-05-15,Kolkata,Banglore,11:15:00,18:30:00,435,1.0,No Info,8844
Indigo,2019-05-15,Banglore,Delhi,07:10:00,10:05:00,175,0.0,No Info,4823
Indigo,2019-03-03,Kolkata,Banglore,10:10:00,12:55:00,165,0.0,No Info,6565
Multiple Carriers,2019-06-24,Delhi,Cochin,11:25:00,19:15:00,470,1.0,No Info,7155
Jet Airways,2019-06-09,Delhi,Cochin,05:30:00,12:35:00,425,2.0,In-flight meal not included,13344
Indigo,2019-06-12,Delhi,Cochin,08:50:00,21:00:00,730,1.0,No Info,6093
Jet Airways,2019-05-01,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,No Info,8355
Jet Airways,2019-05-09,Kolkata,Banglore,17:00:00,14:25:00,1285,1.0,In-flight meal not included,9314
Jet Airways,2019-05-06,Kolkata,Banglore,16:30:00,20:45:00,1695,1.0,In-flight meal not included,9663
Multiple Carriers,2019-06-24,Delhi,Cochin,08:30:00,19:00:00,630,1.0,No Info,10877
Multiple Carriers,2019-06-01,Delhi,Cochin,11:25:00,19:00:00,455,1.0,No Info,11200
Jet Airways,2019-06-15,Delhi,Cochin,14:00:00,04:25:00,865,1.0,In-flight meal not included,10262
Indigo,2019-04-01,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No Info,2754
Indigo,2019-04-27,Banglore,Delhi,10:30:00,13:20:00,170,0.0,No Info,4423
Vistara,2019-04-12,Banglore,Delhi,11:30:00,14:20:00,170,0.0,No Info,5403
Air India,2019-05-06,Kolkata,Banglore,16:50:00,15:05:00,1335,2.0,No Info,12434
Jet Airways,2019-06-15,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No Info,13292
Multiple Carriers,2019-03-21,Delhi,Cochin,07:05:00,21:20:00,855,2.0,No Info,6653
Air India,2019-03-27,Delhi,Cochin,07:00:00,19:15:00,735,1.0,No Info,6377
Indigo,2019-03-24,Chennai,Kolkata,13:20:00,15:35:00,135,0.0,No Info,4752
Multiple Carriers,2019-05-21,Delhi,Cochin,11:40:00,21:00:00,560,1.0,No Info,7485
Air India,2019-03-06,Mumbai,Hyderabad,05:55:00,22:00:00,965,1.0,No Info,10366
Multiple Carriers,2019-03-03,Delhi,Cochin,13:00:00,01:35:00,755,1.0,No Info,17493
Spicejet,2019-03-18,Kolkata,Banglore,17:15:00,19:45:00,150,0.0,No check-in baggage included,4413
Jet Airways,2019-05-12,Kolkata,Banglore,08:25:00,19:50:00,685,1.0,In-flight meal not included,8586
Jet Airways,2019-03-09,Mumbai,Hyderabad,19:40:00,21:10:00,90,0.0,No Info,5678
Jet Airways,2019-05-15,Kolkata,Banglore,09:35:00,18:00:00,505,1.0,No Info,13067
Indigo,2019-06-01,Chennai,Kolkata,14:45:00,17:05:00,140,0.0,No Info,3597
Multiple Carriers,2019-06-03,Delhi,Cochin,17:50:00,01:30:00,460,2.0,No Info,18275
Jet Airways,2019-05-09,Kolkata,Banglore,16:30:00,18:15:00,1545,1.0,No Info,13941
Indigo,2019-03-06,Delhi,Cochin,04:45:00,21:00:00,975,1.0,No Info,13611
Air India,2019-05-21,Delhi,Cochin,17:40:00,23:00:00,320,1.0,No Info,8067
Air India,2019-03-18,Banglore,New Delhi,13:20:00,16:10:00,170,0.0,No Info,4441
Jet Airways,2019-06-09,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,No Info,13292
Indigo,2019-04-27,Delhi,Cochin,07:35:00,12:10:00,275,1.0,No Info,5073
Air India,2019-03-27,Delhi,Cochin,12:00:00,19:15:00,435,2.0,No Info,10493
Indigo,2019-03-18,Banglore,New Delhi,16:15:00,20:35:00,260,1.0,No Info,4437
Jet Airways,2019-06-15,Delhi,Cochin,21:25:00,19:00:00,1295,2.0,In-flight meal not included,10588
Indigo,2019-06-12,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No Info,2754
Jet Airways,2019-03-15,Banglore,New Delhi,09:45:00,14:25:00,280,1.0,No Info,8578
Jet Airways,2019-05-12,Kolkata,Banglore,18:55:00,04:40:00,585,1.0,No Info,14388
Air Asia,2019-06-03,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No Info,4483
Multiple Carriers,2019-05-15,Delhi,Cochin,07:10:00,16:10:00,540,1.0,No Info,6513
Vistara,2019-06-09,Kolkata,Banglore,07:10:00,09:05:00,1555,1.0,No Info,9397
Jet Airways,2019-05-09,Banglore,Delhi,08:20:00,11:20:00,180,0.0,In-flight meal not included,4544
Air India,2019-03-27,Delhi,Cochin,13:20:00,07:40:00,1100,2.0,No Info,10178
Indigo,2019-05-15,Delhi,Cochin,11:25:00,01:30:00,845,1.0,No Info,6979
Indigo,2019-06-21,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No Info,5224
Jet Airways,2019-03-06,Delhi,Cochin,09:00:00,04:25:00,1165,1.0,In-flight meal not included,13843
Jet Airways,2019-04-01,Kolkata,Banglore,14:05:00,23:35:00,570,1.0,No Info,13364
Jet Airways,2019-05-09,Kolkata,Banglore,09:35:00,10:55:00,1520,1.0,No Info,10953
Air India,2019-05-21,Kolkata,Banglore,05:50:00,23:15:00,1045,2.0,No Info,13143
Indigo,2019-05-12,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No Info,5277
Air India,2019-06-12,Delhi,Cochin,12:30:00,09:25:00,1255,1.0,No Info,7480
Jet Airways,2019-06-12,Delhi,Cochin,09:40:00,19:00:00,560,2.0,No Info,13014
Indigo,2019-04-12,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No Info,4990
Jet Airways,2019-05-18,Delhi,Cochin,13:25:00,19:00:00,1775,2.0,No Info,16704
Indigo,2019-06-15,Delhi,Cochin,07:35:00,22:30:00,895,1.0,No Info,6442
Indigo,2019-05-15,Delhi,Cochin,11:55:00,22:30:00,635,1.0,No Info,6442
Air India,2019-06-18,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,5201
Indigo,2019-03-03,Mumbai,Hyderabad,16:55:00,18:25:00,90,0.0,No Info,6795
Multiple Carriers,2019-05-18,Delhi,Cochin,11:40:00,01:30:00,830,1.0,No Info,8405
Jet Airways,2019-05-09,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,4030
Indigo,2019-05-03,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,4823
Jet Airways,2019-06-12,Kolkata,Banglore,09:35:00,21:05:00,690,1.0,No Info,12692
Indigo,2019-06-12,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No Info,6093
Indigo,2019-04-24,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No Info,3419
Air Asia,2019-05-12,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No Info,3383
Vistara,2019-05-21,Delhi,Cochin,06:00:00,09:10:00,190,0.0,No Info,6741
Jet Airways,2019-03-06,Mumbai,Hyderabad,20:45:00,16:50:00,1205,1.0,No Info,19595
Jet Airways,2019-05-01,Kolkata,Banglore,14:05:00,19:50:00,345,1.0,No Info,14781
Spicejet,2019-06-03,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No check-in baggage included,3543
Multiple Carriers,2019-05-21,Delhi,Cochin,09:00:00,19:15:00,615,1.0,No Info,14848
Air Asia,2019-04-09,Delhi,Cochin,20:45:00,07:10:00,625,1.0,No Info,6451
Jet Airways,2019-05-09,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,In-flight meal not included,13029
Jet Airways,2019-05-18,Delhi,Cochin,11:40:00,19:00:00,440,2.0,In-flight meal not included,19644
Jet Airways,2019-05-01,Kolkata,Banglore,06:30:00,09:20:00,1610,1.0,In-flight meal not included,9663
Indigo,2019-06-21,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,4804
Air India,2019-03-03,Banglore,New Delhi,06:45:00,23:55:00,1030,2.0,No Info,10573
Jet Airways,2019-06-06,Delhi,Cochin,20:55:00,19:00:00,1325,1.0,No Info,14714
Air India,2019-06-12,Delhi,Cochin,12:00:00,07:40:00,1180,2.0,No Info,8603
Jet Airways,2019-06-27,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No Info,14714
Multiple Carriers,2019-05-27,Delhi,Cochin,10:00:00,21:00:00,660,1.0,No Info,9718
Jet Airways,2019-04-09,Delhi,Cochin,13:25:00,12:35:00,1390,2.0,No Info,9483
Spicejet,2019-04-06,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No Info,3873
Indigo,2019-06-03,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No Info,3943
Jet Airways,2019-05-27,Delhi,Cochin,19:30:00,12:35:00,1025,2.0,In-flight meal not included,13029
Jet Airways,2019-05-18,Delhi,Cochin,21:50:00,12:35:00,885,1.0,In-flight meal not included,12373
Multiple Carriers,2019-06-03,Delhi,Cochin,06:00:00,19:15:00,795,1.0,No Info,9736
Jet Airways,2019-05-06,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,In-flight meal not included,8066
Indigo,2019-03-27,Kolkata,Banglore,20:25:00,23:05:00,160,0.0,No Info,4462
Vistara,2019-05-21,Banglore,Delhi,19:30:00,22:15:00,165,0.0,No Info,4878
Indigo,2019-03-03,Banglore,New Delhi,20:00:00,22:55:00,175,0.0,No Info,6860
Air India,2019-03-27,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,2575
Air India,2019-03-01,Banglore,New Delhi,08:50:00,23:25:00,875,2.0,1 Short layover,26743
Jet Airways,2019-05-12,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No Info,7229
Indigo,2019-05-18,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No Info,3943
Jet Airways,2019-06-09,Delhi,Cochin,07:05:00,19:00:00,715,1.0,No Info,14714
Goair,2019-05-21,Kolkata,Banglore,16:40:00,00:15:00,455,1.0,No Info,8855
Indigo,2019-03-06,Mumbai,Hyderabad,16:55:00,18:25:00,90,0.0,No Info,4784
Jet Airways,2019-05-18,Delhi,Cochin,09:40:00,19:00:00,560,2.0,No Info,15129
Air India,2019-05-21,Kolkata,Banglore,10:00:00,01:20:00,920,2.0,No Info,13033
Jet Airways,2019-05-21,Delhi,Cochin,08:00:00,19:00:00,660,1.0,In-flight meal not included,12898
Air India,2019-05-21,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No Info,5228
Indigo,2019-06-27,Delhi,Cochin,07:15:00,12:30:00,315,1.0,No Info,6582
Multiple Carriers,2019-05-09,Delhi,Cochin,06:40:00,19:15:00,755,1.0,No Info,7787
Vistara,2019-05-12,Kolkata,Banglore,17:00:00,18:50:00,1550,1.0,No Info,9135
Indigo,2019-04-27,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No Info,4423
Jet Airways,2019-05-21,Delhi,Cochin,19:15:00,04:25:00,550,1.0,No Info,16079
Indigo,2019-03-18,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,3850
Jet Airways,2019-06-03,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No Info,13014
Jet Airways,2019-06-27,Banglore,Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,7229
Spicejet,2019-04-18,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No check-in baggage included,3841
Jet Airways,2019-06-27,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,In-flight meal not included,4995
Air India,2019-06-01,Delhi,Cochin,21:00:00,19:15:00,1335,1.0,No Info,8582
Spicejet,2019-06-12,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No Info,3873
Indigo,2019-05-12,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No Info,3943
Air India,2019-06-03,Delhi,Cochin,20:40:00,09:25:00,765,1.0,No Info,7480
Jet Airways,2019-06-03,Delhi,Cochin,21:25:00,12:35:00,910,2.0,No Info,13292
Indigo,2019-06-24,Delhi,Cochin,20:25:00,01:30:00,305,1.0,No Info,5054
Jet Airways,2019-05-21,Kolkata,Banglore,09:35:00,23:35:00,840,1.0,No Info,14151
Indigo,2019-06-15,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4804
Jet Airways,2019-05-15,Kolkata,Banglore,09:35:00,14:25:00,1730,1.0,No Info,11467
Indigo,2019-04-27,Kolkata,Banglore,15:30:00,18:05:00,155,0.0,No Info,4804
Jet Airways,2019-06-01,Delhi,Cochin,10:00:00,12:35:00,1595,1.0,In-flight meal not included,10262
Air India,2019-03-03,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,7931
Multiple Carriers,2019-06-01,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No Info,13587
Jet Airways,2019-06-12,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,No Info,8355
Jet Airways,2019-05-09,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,In-flight meal not included,9663
Indigo,2019-04-01,Delhi,Cochin,02:00:00,07:25:00,325,1.0,No Info,5164
Jet Airways,2019-04-09,Delhi,Cochin,22:50:00,12:35:00,825,1.0,No Info,11822
Multiple Carriers,2019-03-27,Delhi,Cochin,19:00:00,01:35:00,395,1.0,No Info,7845
Air India,2019-05-01,Banglore,Delhi,06:10:00,08:55:00,165,0.0,No Info,6121
Air India,2019-03-21,Banglore,New Delhi,10:30:00,11:20:00,1490,1.0,No Info,6383
Indigo,2019-03-03,Delhi,Cochin,11:55:00,22:20:00,625,1.0,No Info,11600
Jet Airways,2019-03-15,Banglore,New Delhi,05:45:00,13:15:00,450,1.0,In-flight meal not included,9134
Spicejet,2019-03-15,Chennai,Kolkata,09:30:00,12:05:00,155,0.0,No Info,6300
Air India,2019-06-01,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No Info,5228
Air India,2019-06-03,Delhi,Cochin,03:50:00,19:15:00,925,1.0,No Info,8669
Air India,2019-03-01,Mumbai,Hyderabad,15:00:00,16:25:00,85,0.0,No Info,6092
Air India,2019-03-15,Banglore,New Delhi,08:15:00,11:20:00,1625,2.0,No Info,8534
Jet Airways,2019-05-06,Kolkata,Banglore,21:10:00,09:20:00,730,1.0,In-flight meal not included,9663
Vistara,2019-05-21,Kolkata,Banglore,07:10:00,20:20:00,790,1.0,No Info,9345
Jet Airways,2019-05-27,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,In-flight meal not included,13029
Indigo,2019-03-03,Delhi,Cochin,07:35:00,22:20:00,885,1.0,No Info,11600
Air India,2019-04-24,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No Info,4145
Jet Airways,2019-05-06,Kolkata,Banglore,16:30:00,22:35:00,365,1.0,In-flight meal not included,10844
Air India,2019-03-03,Banglore,New Delhi,11:05:00,22:10:00,2105,2.0,No Info,11791
Multiple Carriers,2019-06-24,Delhi,Cochin,06:40:00,19:00:00,740,1.0,No Info,10877
Air India,2019-05-18,Delhi,Cochin,09:00:00,07:40:00,1360,1.0,No Info,8372
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,16:20:00,1285,1.0,No Info,14781
Jet Airways,2019-03-09,Banglore,New Delhi,05:45:00,10:25:00,280,1.0,In-flight meal not included,11087
Jet Airways,2019-06-03,Delhi,Cochin,02:15:00,19:00:00,1005,1.0,No Info,14714
Indigo,2019-03-27,Delhi,Cochin,08:25:00,15:30:00,425,1.0,No Info,8075
Jet Airways,2019-03-21,Delhi,Cochin,02:15:00,18:50:00,995,1.0,No Info,12719
Multiple Carriers,2019-06-03,Delhi,Cochin,12:50:00,19:15:00,385,1.0,No Info,9001
Vistara,2019-06-01,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,6741
Indigo,2019-03-21,Delhi,Cochin,06:40:00,13:20:00,400,1.0,No Info,10208
Air Asia,2019-05-21,Kolkata,Banglore,19:55:00,23:30:00,215,1.0,No Info,5162
Jet Airways,2019-05-15,Kolkata,Banglore,21:10:00,10:05:00,775,1.0,No Info,15149
Jet Airways,2019-05-21,Delhi,Cochin,11:30:00,19:00:00,450,1.0,No Info,16079
Indigo,2019-03-24,Banglore,New Delhi,10:10:00,13:00:00,170,0.0,No Info,4777
Jet Airways,2019-05-27,Delhi,Cochin,11:30:00,12:35:00,1505,1.0,In-flight meal not included,12898
Jet Airways,2019-05-15,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,In-flight meal not included,9663
Spicejet,2019-03-03,Kolkata,Banglore,06:55:00,09:35:00,160,0.0,No Info,4622
Jet Airways,2019-03-12,Banglore,New Delhi,07:00:00,23:00:00,960,1.0,No Info,13817
Indigo,2019-05-06,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No Info,3419
